Dataset_Type,Dataset,Model,Method,Round,AUC,Spearman_PMI,Pearson_PMI,MSE_PMI,Spearman_Relevant,Pearson_Relevant,Spearman_Engaging,Pearson_Engaging
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Prompt,2,0.7757436666666667,0.07169104709418228,0.35269793855312215,19.435448458808192,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Pair,2,0.8349238333333334,0.2865035956277978,0.4870866511291116,5.230463082097197,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Prompt,2,0.7619090000000002,0.24037731100938678,0.3769453997435952,8.376907197201824,,,,
Synthetic,diagonal,Qwen3-8B,Direct_MEEP,3,0.6796071722227544,0.19394287398619584,0.31050272701977333,5.304072874851517,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Pair,3,0.8572841666666666,0.39118776877273975,0.6209809594481248,2.1148326650944864,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Pair,3,0.8587324999999999,0.41748682734846326,0.5908103104347386,28.912721615858977,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Pair,3,0.8247356666666666,0.1969640503835265,0.4767727798921769,10.664798462125063,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Prompt,3,0.8492486666666668,0.44946397097445995,0.6454836084037378,2.0716941436357135,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Prompt,3,0.855781,0.45451011238181,0.6277852460049985,8.899320445392485,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Prompt,3,0.8363126666666667,0.2562901902098662,0.5415149269531782,4.986844460207949,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Pair,3,0.8204838333333333,0.3115441817073073,0.4025454010129058,23.731442195950063,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Prompt,3,0.8362113333333334,0.41164636644400654,0.5840954884375403,5.143494779788168,,,,
Synthetic,diagonal,Qwen3-8B,Direct_MEEP,4,0.6709210697811615,0.2047479778645967,0.2790656042036754,5.2960656830199095,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Pair,4,0.8668231666666666,0.3884776083647846,0.6410560035839785,1.7246735965959823,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Pair,4,0.8673548333333334,0.37489055338662897,0.6114669175275915,21.915987536570384,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Pair,4,0.8306001666666666,0.17386171464838515,0.475204490087186,10.139378048200662,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Prompt,4,0.8593581666666666,0.45780735700525155,0.6586066773447521,1.8725625983103074,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Prompt,4,0.8630008333333333,0.45967218239146945,0.6455671672945791,5.504738906848316,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Prompt,4,0.8454685000000001,0.2743258707043356,0.6412281002269375,1.5476070375432556,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Pair,4,0.8236648333333333,0.3492145786215975,0.4295591314041265,24.469323650786286,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Prompt,4,0.8419128333333333,0.4077149064370586,0.586048609688003,5.195938761346559,,,,
Synthetic,diagonal,Qwen3-8B,Direct_MEEP,5,0.6723080783611985,0.19578897199690679,0.3329569289895824,5.225180563911304,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Pair,5,0.8578468333333333,0.3727269005976677,0.632375273918734,1.7737938730859608,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Pair,5,0.8548035,0.4534404619034912,0.5932587234486012,25.250992644864688,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Pair,5,0.8117516666666666,0.053293764124813174,0.38182992121085796,12.042887989263024,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Prompt,5,0.8510866666666667,0.4739539470057947,0.6624769574961786,1.6663454037989127,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Prompt,5,0.8559920000000001,0.485849228628846,0.6417362148159655,10.763909357340788,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Prompt,5,0.8376373333333333,0.24154416244753504,0.6064300384641842,1.6809719424138743,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Pair,5,0.8169188333333333,0.32449160629078644,0.4135633031292584,26.79945409985278,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Prompt,5,0.841554,0.43121523511578774,0.5987972504744652,4.978867767162614,,,,
Synthetic,diagonal,Qwen3-8B,Direct_MEEP,1,0.6809226374836534,0.21357859607881335,0.32447509294018206,5.171791175730845,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Pair,1,0.8516458333333333,0.3695293456038093,0.6086312829220509,2.438846401086629,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Pair,1,0.8556311666666667,0.4281046750158241,0.5914082272222443,28.004554672072157,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Pair,1,0.8142278333333333,0.1552503051215733,0.40843434385038885,13.86093964559381,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Prompt,1,0.848482,0.4700035585264072,0.6651095970714489,1.536625993147702,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Prompt,1,0.8534336666666665,0.47509971958297215,0.634735232754204,10.993511863175925,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Prompt,1,0.8341596666666665,0.2973584327490799,0.610573021489989,1.7400091866598166,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Pair,1,0.8149348333333334,0.31345375639270123,0.4140722245444057,25.06503818635737,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Prompt,1,0.8385766666666667,0.42987138593373814,0.5926511087011698,5.016707524657602,,,,
Synthetic,diagonal,Qwen3-8B,Direct_MEEP,2,0.6776798244071003,0.2253118377901166,0.3588507861076979,5.160218909524599,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Pair,2,0.8571885,0.36165639772863634,0.6247043282170699,1.8597121006237827,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Pair,2,0.8555535,0.38609203597531344,0.5847386220884575,26.294428659384305,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Pair,2,0.8198691666666665,0.05633883607595396,0.43096700217519884,13.984049580197876,,,,
Synthetic,diagonal,Qwen3-8B,PMI_Prompt,2,0.8518155000000001,0.4561551648764921,0.6614685719080137,1.6968837987352776,,,,
Synthetic,diagonal,Qwen3-8B,MINE_Prompt,2,0.8566301666666667,0.4451707473972465,0.6361695080135173,2.8508065760619514,,,,
Synthetic,diagonal,Qwen3-8B,InfoNCE_Prompt,2,0.8375111666666667,0.25024597740531124,0.5920787111795037,2.027477644408302,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Pair,2,0.8142444999999999,0.3328407026224417,0.4361823906599189,25.78796678675383,,,,
Synthetic,diagonal,Qwen3-8B,KDE_Prompt,2,0.8347321666666667,0.38571954508472805,0.6075369469086077,5.241515073849505,,,,
Synthetic,diagonal,Phi-4-mini-instruct,Direct_MEEP,3,0.5872408272181453,0.08007066718830862,0.08792943384729345,5.859111463716052,,,,
Synthetic,diagonal,Phi-4-mini-instruct,PMI_Pair,3,0.8505641666666666,0.32893696876069134,0.6568436937153935,1.8047045566089264,,,,
Synthetic,diagonal,Phi-4-mini-instruct,MINE_Pair,3,0.8554268333333334,0.496663521296183,0.6309083498110444,21.804290439783543,,,,
Synthetic,diagonal,Phi-4-mini-instruct,InfoNCE_Pair,3,0.8144018333333334,0.17543968089975542,0.4377861525147953,9.927078275626247,,,,
Synthetic,diagonal,Phi-4-mini-instruct,PMI_Prompt,3,0.8591895,0.47246829035741245,0.6649656583236605,1.5338523258375847,,,,
Synthetic,diagonal,Phi-4-mini-instruct,MINE_Prompt,3,0.8610121666666667,0.418380360604325,0.6038125835250177,40.80457895265114,,,,
Synthetic,diagonal,Phi-4-mini-instruct,InfoNCE_Prompt,3,0.8409028333333332,0.2158351811543458,0.5165874133084447,4.5066955972944225,,,,
Synthetic,diagonal,Phi-4-mini-instruct,KDE_Pair,3,0.8273588333333334,0.3702672134066739,0.46532429598798414,16.42289394985415,,,,
Synthetic,diagonal,Phi-4-mini-instruct,KDE_Prompt,3,0.8435068333333333,0.37763665516147815,0.5826034137054472,5.27187355389797,,,,
Synthetic,diagonal,Phi-4-mini-instruct,Direct_MEEP,4,0.5955845563709139,0.11115877367688706,0.13820182116678492,5.7336699120897086,,,,
Synthetic,diagonal,Phi-4-mini-instruct,PMI_Pair,4,0.8642638333333332,0.4184770191756959,0.6709314515342405,1.3422003154954314,,,,
Synthetic,diagonal,Phi-4-mini-instruct,MINE_Pair,4,0.8661509999999999,0.44413482844293717,0.6238235087563607,27.354743953674763,,,,
Synthetic,diagonal,Phi-4-mini-instruct,InfoNCE_Pair,4,0.8045108333333334,0.05424063999066234,0.3795481689202185,6.670059718764702,,,,
