Dataset_Type,Dataset,Model,Method,AUC_mean,AUC_std,Spearman_PMI_mean,Spearman_PMI_std,Pearson_PMI_mean,Pearson_PMI_std,MSE_PMI_mean,MSE_PMI_std,Spearman_Relevant_mean,Spearman_Relevant_std,Pearson_Relevant_mean,Pearson_Relevant_std,Spearman_Engaging_mean,Spearman_Engaging_std,Pearson_Engaging_mean,Pearson_Engaging_std
Empirical,en,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.8482984,0.004113741635597084,,,,,,,0.15969836439963686,0.04045266367614124,0.1439996317741054,0.04265659944220668,0.1652438273208644,0.04950431066965563,0.17149977504399777,0.04608198730470393
Empirical,en,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.9335365333333334,0.0025319790305433306,,,,,,,0.3843713972174273,0.06884281390867049,0.3945923172498781,0.12933633248052523,0.29693909072240254,0.14486771511517016,0.31798814026061273,0.13166881444653764
Empirical,zh,Phi-4-mini-instruct,Direct_MEEP,,,,,,,,,0.12835811878460643,0.06009786703102969,0.12203020351088936,0.06960301632577205,,,,
Empirical,zh,Phi-4-mini-instruct,InfoNCE_Pair,0.6977192666666667,0.005781642675072781,,,,,,,0.25534430870125846,0.04833312821215925,0.2545668510738316,0.024918803755399992,,,,
Empirical,zh,Phi-4-mini-instruct,InfoNCE_Prompt,0.7993111,0.005646371956595025,,,,,,,0.4045929890592855,0.036579988678767716,0.41474448853427753,0.031033561367924276,,,,
Empirical,zh,Phi-4-mini-instruct,KDE_Pair,0.6461783333333333,0.006510509247875064,,,,,,,0.27838357938540037,0.030900446848858606,0.2502757353034041,0.023643441044236976,,,,
Empirical,zh,Phi-4-mini-instruct,KDE_Prompt,0.7407655666666667,0.002150432784606629,,,,,,,0.38949793008891537,0.03700936721749457,0.362655987004406,0.022113713701330143,,,,
Empirical,zh,Phi-4-mini-instruct,MINE_Pair,0.6953234333333334,0.0018045879554316375,,,,,,,0.3579204455469702,0.029774188121009775,0.36773241376098775,0.014882071436497666,,,,
Empirical,zh,Phi-4-mini-instruct,MINE_Prompt,0.8118366333333334,0.005593424256064727,,,,,,,0.453294915621528,0.04500455941587396,0.40209668157054557,0.041887002563305284,,,,
Empirical,zh,Phi-4-mini-instruct,PMI_Pair,0.6917424999999999,0.007322000986372764,,,,,,,0.34883943007857826,0.03331276235037686,0.3524931553578535,0.019458205733193984,,,,
Empirical,zh,Phi-4-mini-instruct,PMI_Prompt,0.8239166000000001,0.0028220327031730336,,,,,,,0.47488331906444825,0.04664429492423022,0.46981878598340654,0.041248020915976194,,,,
Empirical,zh,Qwen3-0.6B,Direct_MEEP,0.5309058579489222,0.009031389821974526,,,,,,,0.07986723970584672,0.04659064802499279,0.06573238236558791,0.036743268536887405,,,,
Empirical,zh,Qwen3-0.6B,InfoNCE_Pair,0.7223416,0.006673702010295516,,,,,,,0.2923087281519,0.07404119931158061,0.2892856257459079,0.06338752284990241,,,,
Empirical,zh,Qwen3-0.6B,InfoNCE_Prompt,0.7606937333333332,0.011306880707855176,,,,,,,0.387847715698731,0.0734458483886377,0.37968922195806315,0.06893403903422465,,,,
Empirical,zh,Qwen3-0.6B,KDE_Pair,0.6769613,0.0038475442951027383,,,,,,,0.37869235606735707,0.03907749077593702,0.39569105961335077,0.02370257497233083,,,,
Empirical,zh,Qwen3-0.6B,KDE_Prompt,0.6823742666666667,0.009305239507933147,,,,,,,0.1703296386879018,0.06445936201120107,0.13442220387178136,0.038702259508296505,,,,
Empirical,zh,Qwen3-0.6B,MINE_Pair,0.7116213333333334,0.04042312528670245,,,,,,,0.2607755789863878,0.16063913471639507,0.24187560601000743,0.11687486982054637,,,,
Empirical,zh,Qwen3-0.6B,MINE_Prompt,0.7761574333333334,0.005654431661193799,,,,,,,0.4037451948515288,0.07978886901703962,0.3717786251625683,0.08622874463512865,,,,
Empirical,zh,Qwen3-0.6B,PMI_Pair,0.5209524666666667,0.03479157641772725,,,,,,,-0.076268171656201,0.12907753623454624,-0.05300767781980677,0.09659818516569416,,,,
Empirical,zh,Qwen3-0.6B,PMI_Prompt,0.7737955333333333,0.004742061931972984,,,,,,,0.4295004449067866,0.023134441163394432,0.4191997718854381,0.02571459686586208,,,,
Empirical,zh,Qwen3-1.7B,Direct_MEEP,0.5254519618782483,0.011469680697707728,,,,,,,0.05109834493798291,0.05736737287331357,0.06541082558041267,0.06543951329055556,,,,
Empirical,zh,Qwen3-1.7B,InfoNCE_Pair,0.7175590666666667,0.006420809370061226,,,,,,,0.24356884513946567,0.038974502182896345,0.2564237478899817,0.0374377888803619,,,,
Empirical,zh,Qwen3-1.7B,InfoNCE_Prompt,0.7893394333333335,0.0023365533721940537,,,,,,,0.4040183098243973,0.04316115785368275,0.391462056930399,0.04417817369957084,,,,
Empirical,zh,Qwen3-1.7B,KDE_Pair,0.6695995333333333,0.006521577632069626,,,,,,,0.3911088581298295,0.023651397567243392,0.37134064754538637,0.0335790521554358,,,,
Empirical,zh,Qwen3-1.7B,KDE_Prompt,0.7002946333333333,0.003571177837135025,,,,,,,0.31979551596305106,0.02325381925505206,0.3062392068127665,0.015427211959047497,,,,
Empirical,zh,Qwen3-1.7B,MINE_Pair,0.7183806666666667,0.0016387232326824123,,,,,,,0.351791532721476,0.016503736340493874,0.337321324925863,0.02572286150489486,,,,
Empirical,zh,Qwen3-1.7B,MINE_Prompt,0.8006589,0.006396111719891507,,,,,,,0.4730604638917937,0.05781715101767368,0.39690007177161785,0.07429381894409208,,,,
Empirical,zh,Qwen3-1.7B,PMI_Pair,0.7163934000000001,0.007538935212172418,,,,,,,0.3295575735100743,0.04263121187228388,0.33016841045839784,0.046095935851866957,,,,
Empirical,zh,Qwen3-1.7B,PMI_Prompt,0.8117335333333333,0.003633362061048517,,,,,,,0.4735039492128477,0.056102128346480436,0.46376349482055534,0.05833554701552685,,,,
Empirical,zh,Qwen3-4B,Direct_MEEP,0.5824331053997263,0.01232199112530318,,,,,,,0.14239305430556595,0.056797718137973435,0.17130542815892946,0.049422353181100914,,,,
Empirical,zh,Qwen3-4B,InfoNCE_Pair,0.7306732666666667,0.007325687807677553,,,,,,,0.2546519318466637,0.031914902024063024,0.26349632820563795,0.019420342128855708,,,,
Empirical,zh,Qwen3-4B,InfoNCE_Prompt,0.8461528000000001,0.004876780510177224,,,,,,,0.41539134535373157,0.054057570437095616,0.4231025305636564,0.06239354398497623,,,,
Empirical,zh,Qwen3-4B,KDE_Pair,0.6728008,0.0022642770442976336,,,,,,,0.38520449440088267,0.019329345373197446,0.36374776305908324,0.021392145086146164,,,,
Empirical,zh,Qwen3-4B,KDE_Prompt,0.7965285333333334,0.006057676720951303,,,,,,,0.49511086722488995,0.021912728112731768,0.4224475877385442,0.027225534384067263,,,,
Empirical,zh,Qwen3-4B,MINE_Pair,0.7274020333333333,0.008119641310153762,,,,,,,0.3689448715827692,0.042621768592035585,0.35418384629962485,0.028186166370470413,,,,
Empirical,zh,Qwen3-4B,MINE_Prompt,0.8518615333333333,0.0047054170251483556,,,,,,,0.5349394775924615,0.05006389757829029,0.47707473363091896,0.05385460515783534,,,,
Empirical,zh,Qwen3-4B,PMI_Pair,0.6922033666666667,0.0710084198613094,,,,,,,0.37188979513898734,0.06051832696002709,0.3640363831426675,0.0518808433949543,,,,
Empirical,zh,Qwen3-4B,PMI_Prompt,0.8608509333333332,0.004058350947258161,,,,,,,0.5517163589704422,0.048195046387152225,0.5402112033490247,0.044895142513610625,,,,
Empirical,zh,Qwen3-8B,Direct_MEEP,0.6687126413689582,0.01418054856580698,,,,,,,0.2170093024084075,0.046127096055478545,0.20414553335321778,0.056581334246001466,,,,
Empirical,zh,Qwen3-8B,InfoNCE_Pair,0.7125846666666666,0.009599813042160989,,,,,,,0.2589884736827741,0.055387872174526974,0.25667168676710994,0.06582168322061602,,,,
Empirical,zh,Qwen3-8B,InfoNCE_Prompt,0.8783602,0.003376731231695944,,,,,,,0.5056575455122762,0.06834965452132338,0.5149208899204611,0.05624693377333886,,,,
Empirical,zh,Qwen3-8B,KDE_Pair,0.6655957333333333,0.007585908849819987,,,,,,,0.33099697413703,0.02824295906944215,0.3023734172367645,0.021644882612059973,,,,
Empirical,zh,Qwen3-8B,KDE_Prompt,0.8144841333333334,0.0015395952859256906,,,,,,,0.43259720716898986,0.042053734619384726,0.40984208571071645,0.01784494147697624,,,,
Empirical,zh,Qwen3-8B,MINE_Pair,0.7086150666666666,0.005358808840487663,,,,,,,0.37872380602468614,0.03944237910617443,0.39147077083513465,0.03162519492125531,,,,
Empirical,zh,Qwen3-8B,MINE_Prompt,0.8782184666666668,0.00225643867447509,,,,,,,0.5699982326094256,0.05325603263032082,0.5152973776422994,0.0598226985521236,,,,
Empirical,zh,Qwen3-8B,PMI_Pair,0.7108301666666667,0.0022322148629655217,,,,,,,0.3761396402111085,0.04472956852146858,0.37796773325480537,0.038004298624116035,,,,
Empirical,zh,Qwen3-8B,PMI_Prompt,0.8840518666666666,0.002407380902788617,,,,,,,0.5792623592929834,0.0488115692902561,0.5856219691423339,0.03760126221570532,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,Direct_MEEP,0.5404943604292979,0.005903529684605403,,,,,,,0.06267217340805722,0.018543709108603666,0.056893840686808715,0.024041648150694626,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Pair,0.6888441333333334,0.007784856316379088,,,,,,,0.26181009133136884,0.036053009136976885,0.26119044901807803,0.020651859191581485,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Prompt,0.7809633333333333,0.01040421815365713,,,,,,,0.23470950276272803,0.05709611503883931,0.23409384649893292,0.03640212976891579,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Pair,0.6498981666666667,0.0042664796410832794,,,,,,,0.3368412598636079,0.035473711806221234,0.29777890192329964,0.03181201576940736,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Prompt,0.6829187,0.00685137027697536,,,,,,,0.24318398369675337,0.055427275122512935,0.22214801863076367,0.04605444954690946,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Pair,0.6913258,0.00593207374551449,,,,,,,0.34503546985028394,0.04733201478842078,0.3417477800797976,0.0399034377071719,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Prompt,0.7969137333333334,0.006822553483565468,,,,,,,0.4548367305487161,0.06704687153074466,0.3859411716465814,0.03688251168736739,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.6905635333333333,0.005622625852551245,,,,,,,0.3560423915876256,0.04374393927293249,0.3565206597019266,0.039386188458301226,,,,
Empirical,zh,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.8083191333333334,0.005019647644783211,,,,,,,0.4701026488975435,0.06151595535487343,0.45178311523169085,0.05550482107763913,,,,
Synthetic,block,Phi-4-mini-instruct,Direct_MEEP,0.6356344527458694,0.009197129279101799,-0.06077632082199695,0.02001574916643672,0.12377494366261124,0.021099739244130167,2.9019276615226817,0.03838400348755749,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,InfoNCE_Pair,0.8098493999999998,0.015099761522491371,0.16821285704686967,0.08259337684731805,0.4818234562520895,0.043092789853008545,5.3820206725192445,1.7369324704743851,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,InfoNCE_Prompt,0.8326348666666666,0.004130733290766251,0.0664585145291102,0.01960039078358506,0.661777823569037,0.041801640482622755,1.6858984987431036,1.0421326368581605,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,KDE_Pair,0.8182758,0.004736623066595064,0.35607415902495837,0.021243258204145757,0.6029531510220243,0.007740507047529041,9.336929409387348,0.31817039814154163,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,KDE_Prompt,0.8416233666666667,0.003917105208427451,0.37531726799836546,0.015933884138251066,0.7017847814116431,0.015698417526065635,1.923407658695148,0.036033870591984075,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,MINE_Pair,0.8476216666666666,0.0032159955970982794,0.40503764168651024,0.045440601963498514,0.785820027860734,0.012095087837224702,12.550718910452533,1.875448996900231,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,MINE_Prompt,0.8456209333333333,0.0032630173421237143,0.3844627214848108,0.044112144758759214,0.7538654910489286,0.02283351121520775,2.5200694498577705,3.4993358927808766,,,,,,,,
Synthetic,block,Phi-4-mini-instruct,PMI_Pair,0.8492256666666667,0.0034991215187212157,0.43877965703287114,0.04034386783866203,0.8497503023125237,0.006077237993720727,0.3254261424910302,0.07231029198669713,,,,,,,,
